expression,meaning,example,domain
bor@foc,focus-component of bored,bor@foc = the focus aspect within bored,cognitive
foc@exc,excitement-component of focus,foc@exc = the excitement aspect hidden in focus,cognitive
exc@foc,focus-component of excitement,exc@foc = the focus aspect within excitement,cognitive
foc@anx,anxious-component of focus,foc@anx = the anxious aspect hidden in focus,cognitive
anx@foc,focus-component of anxious,anx@foc = the focus aspect within anxious,cognitive
foc@cal,calm-component of focus,foc@cal = the calm aspect hidden in focus,cognitive
cal@foc,focus-component of calm,cal@foc = the focus aspect within calm,cognitive
foc@cur,curious-component of focus,foc@cur = the curious aspect hidden in focus,cognitive
cur@foc,focus-component of curious,cur@foc = the focus aspect within curious,cognitive
foc@cre,creative-component of focus,foc@cre = the creative aspect hidden in focus,cognitive
cre@foc,focus-component of creative,cre@foc = the focus aspect within creative,cognitive
foc@pra,practical-component of focus,foc@pra = the practical aspect hidden in focus,cognitive
pra@foc,focus-component of practical,pra@foc = the focus aspect within practical,cognitive
foc@log,logical-component of focus,foc@log = the logical aspect hidden in focus,cognitive
log@foc,focus-component of logical,log@foc = the focus aspect within logical,cognitive
foc@ilg,illogical-component of focus,foc@ilg = the illogical aspect hidden in focus,cognitive
ilg@foc,focus-component of illogical,ilg@foc = the focus aspect within illogical,cognitive
foc@val,valid-component of focus,foc@val = the valid aspect hidden in focus,cognitive
val@foc,focus-component of valid,val@foc = the focus aspect within valid,cognitive
foc@fal,false-component of focus,foc@fal = the false aspect hidden in focus,cognitive
fal@foc,focus-component of false,fal@foc = the focus aspect within false,cognitive
foc@tru,true-component of focus,foc@tru = the true aspect hidden in focus,cognitive
tru@foc,focus-component of true,tru@foc = the focus aspect within true,cognitive
foc@par,paradoxical-component of focus,foc@par = the paradoxical aspect hidden in focus,cognitive
par@foc,focus-component of paradoxical,par@foc = the focus aspect within paradoxical,cognitive
foc@jus,justified-component of focus,foc@jus = the justified aspect hidden in focus,cognitive
jus@foc,focus-component of justified,jus@foc = the focus aspect within justified,cognitive
foc@int,intuition-component of focus,foc@int = the intuition aspect hidden in focus,cognitive
int@foc,focus-component of intuition,int@foc = the focus aspect within intuition,cognitive
foc@aim,aim-component of focus,foc@aim = the aim aspect hidden in focus,cognitive
aim@foc,focus-component of aim,aim@foc = the focus aspect within aim,cognitive
foc@pur,purpose-component of focus,foc@pur = the purpose aspect hidden in focus,cognitive
pur@foc,focus-component of purpose,pur@foc = the focus aspect within purpose,cognitive
foc@puz,puzzle-component of focus,foc@puz = the puzzle aspect hidden in focus,cognitive
puz@foc,focus-component of puzzle,puz@foc = the focus aspect within puzzle,cognitive
foc@wis,wise-component of focus,foc@wis = the wise aspect hidden in focus,cognitive
wis@foc,focus-component of wise,wis@foc = the focus aspect within wise,cognitive
foc@ign,ignorant-component of focus,foc@ign = the ignorant aspect hidden in focus,cognitive
ign@foc,focus-component of ignorant,ign@foc = the focus aspect within ignorant,cognitive
atn@con,concentrate-component of attention,atn@con = the concentrate aspect hidden in attention,cognitive
con@atn,attention-component of concentrate,con@atn = the attention aspect within concentrate,cognitive
atn@dis,distract-component of attention,atn@dis = the distract aspect hidden in attention,cognitive
dis@atn,attention-component of distract,dis@atn = the attention aspect within distract,cognitive
atn@obs,observe-component of attention,atn@obs = the observe aspect hidden in attention,cognitive
obs@atn,attention-component of observe,obs@atn = the attention aspect within observe,cognitive
atn@per,perceive-component of attention,atn@per = the perceive aspect hidden in attention,cognitive
per@atn,attention-component of perceive,per@atn = the attention aspect within perceive,cognitive
atn@abl,able-component of attention,atn@abl = the able aspect hidden in attention,cognitive
abl@atn,attention-component of able,abl@atn = the attention aspect within able,cognitive
atn@aud,hearing-component of attention,atn@aud = the hearing aspect hidden in attention,cognitive
aud@atn,attention-component of hearing,aud@atn = the attention aspect within hearing,cognitive
atn@see,seeing-component of attention,atn@see = the seeing aspect hidden in attention,cognitive
see@atn,attention-component of seeing,see@atn = the attention aspect within seeing,cognitive
atn@sme,smelling-component of attention,atn@sme = the smelling aspect hidden in attention,cognitive
sme@atn,attention-component of smelling,sme@atn = the attention aspect within smelling,cognitive
atn@cle,clear-component of attention,atn@cle = the clear aspect hidden in attention,cognitive
cle@atn,attention-component of clear,cle@atn = the attention aspect within clear,cognitive
atn@dar,dark-component of attention,atn@dar = the dark aspect hidden in attention,cognitive
dar@atn,attention-component of dark,dar@atn = the attention aspect within dark,cognitive
atn@luc,lucid-component of attention,atn@luc = the lucid aspect hidden in attention,cognitive
luc@atn,attention-component of lucid,luc@atn = the attention aspect within lucid,cognitive
atn@clo,cloudy-component of attention,atn@clo = the cloudy aspect hidden in attention,cognitive
clo@atn,attention-component of cloudy,clo@atn = the attention aspect within cloudy,cognitive
atn@ful,full-component of attention,atn@ful = the full aspect hidden in attention,cognitive
ful@atn,attention-component of full,ful@atn = the attention aspect within full,cognitive
atn@emp,empty-component of attention,atn@emp = the empty aspect hidden in attention,cognitive
emp@atn,attention-component of empty,emp@atn = the attention aspect within empty,cognitive
atn@abs,abstract-component of attention,atn@abs = the abstract aspect hidden in attention,cognitive
abs@atn,attention-component of abstract,abs@atn = the attention aspect within abstract,cognitive
atn@rem,remembering-component of attention,atn@rem = the remembering aspect hidden in attention,cognitive
rem@atn,attention-component of remembering,rem@atn = the attention aspect within remembering,cognitive
atn@ima,imagining-component of attention,atn@ima = the imagining aspect hidden in attention,cognitive
ima@atn,attention-component of imagining,ima@atn = the attention aspect within imagining,cognitive
atn@dre,dreaming-component of attention,atn@dre = the dreaming aspect hidden in attention,cognitive
dre@atn,attention-component of dreaming,dre@atn = the attention aspect within dreaming,cognitive
atn@for,forget-component of attention,atn@for = the forget aspect hidden in attention,cognitive
for@atn,attention-component of forget,for@atn = the attention aspect within forget,cognitive
atn@rec,recall-component of attention,atn@rec = the recall aspect hidden in attention,cognitive
rec@atn,attention-component of recall,rec@atn = the attention aspect within recall,cognitive
atn@ang,anger-component of attention,atn@ang = the anger aspect hidden in attention,cognitive
ang@atn,attention-component of anger,ang@atn = the attention aspect within anger,cognitive
atn@joy,joy-component of attention,atn@joy = the joy aspect hidden in attention,cognitive
joy@atn,attention-component of joy,joy@atn = the attention aspect within joy,cognitive
atn@sad,sadness-component of attention,atn@sad = the sadness aspect hidden in attention,cognitive
sad@atn,attention-component of sadness,sad@atn = the attention aspect within sadness,cognitive
atn@fea,fear-component of attention,atn@fea = the fear aspect hidden in attention,cognitive
fea@atn,attention-component of fear,fea@atn = the attention aspect within fear,cognitive
atn@des,desire-component of attention,atn@des = the desire aspect hidden in attention,cognitive
des@atn,attention-component of desire,des@atn = the attention aspect within desire,cognitive
atn@hop,hope-component of attention,atn@hop = the hope aspect hidden in attention,cognitive
hop@atn,attention-component of hope,hop@atn = the attention aspect within hope,cognitive
atn@cou,courage-component of attention,atn@cou = the courage aspect hidden in attention,cognitive
cou@atn,attention-component of courage,cou@atn = the attention aspect within courage,cognitive
atn@cow,coward-component of attention,atn@cow = the coward aspect hidden in attention,cognitive
cow@atn,attention-component of coward,cow@atn = the attention aspect within coward,cognitive
atn@lov,love-component of attention,atn@lov = the love aspect hidden in attention,cognitive
lov@atn,attention-component of love,lov@atn = the attention aspect within love,cognitive
atn@hat,hate-component of attention,atn@hat = the hate aspect hidden in attention,cognitive
hat@atn,attention-component of hate,hat@atn = the attention aspect within hate,cognitive
atn@pri,pride-component of attention,atn@pri = the pride aspect hidden in attention,cognitive
pri@atn,attention-component of pride,pri@atn = the attention aspect within pride,cognitive
atn@sha,shame-component of attention,atn@sha = the shame aspect hidden in attention,cognitive
sha@atn,attention-component of shame,sha@atn = the attention aspect within shame,cognitive
atn@bor,bored-component of attention,atn@bor = the bored aspect hidden in attention,cognitive
bor@atn,attention-component of bored,bor@atn = the attention aspect within bored,cognitive
atn@exc,excitement-component of attention,atn@exc = the excitement aspect hidden in attention,cognitive
exc@atn,attention-component of excitement,exc@atn = the attention aspect within excitement,cognitive
atn@anx,anxious-component of attention,atn@anx = the anxious aspect hidden in attention,cognitive
anx@atn,attention-component of anxious,anx@atn = the attention aspect within anxious,cognitive
atn@cal,calm-component of attention,atn@cal = the calm aspect hidden in attention,cognitive
cal@atn,attention-component of calm,cal@atn = the attention aspect within calm,cognitive
atn@cur,curious-component of attention,atn@cur = the curious aspect hidden in attention,cognitive
cur@atn,attention-component of curious,cur@atn = the attention aspect within curious,cognitive
atn@cre,creative-component of attention,atn@cre = the creative aspect hidden in attention,cognitive
cre@atn,attention-component of creative,cre@atn = the attention aspect within creative,cognitive
atn@pra,practical-component of attention,atn@pra = the practical aspect hidden in attention,cognitive
pra@atn,attention-component of practical,pra@atn = the attention aspect within practical,cognitive
atn@log,logical-component of attention,atn@log = the logical aspect hidden in attention,cognitive
log@atn,attention-component of logical,log@atn = the attention aspect within logical,cognitive
atn@ilg,illogical-component of attention,atn@ilg = the illogical aspect hidden in attention,cognitive
ilg@atn,attention-component of illogical,ilg@atn = the attention aspect within illogical,cognitive
atn@val,valid-component of attention,atn@val = the valid aspect hidden in attention,cognitive
val@atn,attention-component of valid,val@atn = the attention aspect within valid,cognitive
atn@fal,false-component of attention,atn@fal = the false aspect hidden in attention,cognitive
fal@atn,attention-component of false,fal@atn = the attention aspect within false,cognitive
atn@tru,true-component of attention,atn@tru = the true aspect hidden in attention,cognitive
tru@atn,attention-component of true,tru@atn = the attention aspect within true,cognitive
atn@par,paradoxical-component of attention,atn@par = the paradoxical aspect hidden in attention,cognitive
par@atn,attention-component of paradoxical,par@atn = the attention aspect within paradoxical,cognitive
atn@jus,justified-component of attention,atn@jus = the justified aspect hidden in attention,cognitive
jus@atn,attention-component of justified,jus@atn = the attention aspect within justified,cognitive
atn@int,intuition-component of attention,atn@int = the intuition aspect hidden in attention,cognitive
int@atn,attention-component of intuition,int@atn = the attention aspect within intuition,cognitive
atn@aim,aim-component of attention,atn@aim = the aim aspect hidden in attention,cognitive
aim@atn,attention-component of aim,aim@atn = the attention aspect within aim,cognitive
atn@pur,purpose-component of attention,atn@pur = the purpose aspect hidden in attention,cognitive
pur@atn,attention-component of purpose,pur@atn = the attention aspect within purpose,cognitive
atn@puz,puzzle-component of attention,atn@puz = the puzzle aspect hidden in attention,cognitive
puz@atn,attention-component of puzzle,puz@atn = the attention aspect within puzzle,cognitive
atn@wis,wise-component of attention,atn@wis = the wise aspect hidden in attention,cognitive
wis@atn,attention-component of wise,wis@atn = the attention aspect within wise,cognitive
atn@ign,ignorant-component of attention,atn@ign = the ignorant aspect hidden in attention,cognitive
ign@atn,attention-component of ignorant,ign@atn = the attention aspect within ignorant,cognitive
con@dis,distract-component of concentrate,con@dis = the distract aspect hidden in concentrate,cognitive
dis@con,concentrate-component of distract,dis@con = the concentrate aspect within distract,cognitive
con@obs,observe-component of concentrate,con@obs = the observe aspect hidden in concentrate,cognitive
obs@con,concentrate-component of observe,obs@con = the concentrate aspect within observe,cognitive
con@per,perceive-component of concentrate,con@per = the perceive aspect hidden in concentrate,cognitive
per@con,concentrate-component of perceive,per@con = the concentrate aspect within perceive,cognitive
con@abl,able-component of concentrate,con@abl = the able aspect hidden in concentrate,cognitive
abl@con,concentrate-component of able,abl@con = the concentrate aspect within able,cognitive
con@aud,hearing-component of concentrate,con@aud = the hearing aspect hidden in concentrate,cognitive
aud@con,concentrate-component of hearing,aud@con = the concentrate aspect within hearing,cognitive
con@see,seeing-component of concentrate,con@see = the seeing aspect hidden in concentrate,cognitive
see@con,concentrate-component of seeing,see@con = the concentrate aspect within seeing,cognitive
con@sme,smelling-component of concentrate,con@sme = the smelling aspect hidden in concentrate,cognitive
sme@con,concentrate-component of smelling,sme@con = the concentrate aspect within smelling,cognitive
con@cle,clear-component of concentrate,con@cle = the clear aspect hidden in concentrate,cognitive
cle@con,concentrate-component of clear,cle@con = the concentrate aspect within clear,cognitive
con@dar,dark-component of concentrate,con@dar = the dark aspect hidden in concentrate,cognitive
dar@con,concentrate-component of dark,dar@con = the concentrate aspect within dark,cognitive
con@luc,lucid-component of concentrate,con@luc = the lucid aspect hidden in concentrate,cognitive
luc@con,concentrate-component of lucid,luc@con = the concentrate aspect within lucid,cognitive
con@clo,cloudy-component of concentrate,con@clo = the cloudy aspect hidden in concentrate,cognitive
clo@con,concentrate-component of cloudy,clo@con = the concentrate aspect within cloudy,cognitive
con@ful,full-component of concentrate,con@ful = the full aspect hidden in concentrate,cognitive
ful@con,concentrate-component of full,ful@con = the concentrate aspect within full,cognitive
con@emp,empty-component of concentrate,con@emp = the empty aspect hidden in concentrate,cognitive
emp@con,concentrate-component of empty,emp@con = the concentrate aspect within empty,cognitive
con@abs,abstract-component of concentrate,con@abs = the abstract aspect hidden in concentrate,cognitive
abs@con,concentrate-component of abstract,abs@con = the concentrate aspect within abstract,cognitive
con@rem,remembering-component of concentrate,con@rem = the remembering aspect hidden in concentrate,cognitive
rem@con,concentrate-component of remembering,rem@con = the concentrate aspect within remembering,cognitive
con@ima,imagining-component of concentrate,con@ima = the imagining aspect hidden in concentrate,cognitive
ima@con,concentrate-component of imagining,ima@con = the concentrate aspect within imagining,cognitive
con@dre,dreaming-component of concentrate,con@dre = the dreaming aspect hidden in concentrate,cognitive
dre@con,concentrate-component of dreaming,dre@con = the concentrate aspect within dreaming,cognitive
con@for,forget-component of concentrate,con@for = the forget aspect hidden in concentrate,cognitive
for@con,concentrate-component of forget,for@con = the concentrate aspect within forget,cognitive
con@rec,recall-component of concentrate,con@rec = the recall aspect hidden in concentrate,cognitive
rec@con,concentrate-component of recall,rec@con = the concentrate aspect within recall,cognitive
con@ang,anger-component of concentrate,con@ang = the anger aspect hidden in concentrate,cognitive
ang@con,concentrate-component of anger,ang@con = the concentrate aspect within anger,cognitive
con@joy,joy-component of concentrate,con@joy = the joy aspect hidden in concentrate,cognitive
joy@con,concentrate-component of joy,joy@con = the concentrate aspect within joy,cognitive
con@sad,sadness-component of concentrate,con@sad = the sadness aspect hidden in concentrate,cognitive
sad@con,concentrate-component of sadness,sad@con = the concentrate aspect within sadness,cognitive
con@fea,fear-component of concentrate,con@fea = the fear aspect hidden in concentrate,cognitive
fea@con,concentrate-component of fear,fea@con = the concentrate aspect within fear,cognitive
con@des,desire-component of concentrate,con@des = the desire aspect hidden in concentrate,cognitive
des@con,concentrate-component of desire,des@con = the concentrate aspect within desire,cognitive
con@hop,hope-component of concentrate,con@hop = the hope aspect hidden in concentrate,cognitive
hop@con,concentrate-component of hope,hop@con = the concentrate aspect within hope,cognitive
con@cou,courage-component of concentrate,con@cou = the courage aspect hidden in concentrate,cognitive
cou@con,concentrate-component of courage,cou@con = the concentrate aspect within courage,cognitive
con@cow,coward-component of concentrate,con@cow = the coward aspect hidden in concentrate,cognitive
cow@con,concentrate-component of coward,cow@con = the concentrate aspect within coward,cognitive
con@lov,love-component of concentrate,con@lov = the love aspect hidden in concentrate,cognitive
lov@con,concentrate-component of love,lov@con = the concentrate aspect within love,cognitive
con@hat,hate-component of concentrate,con@hat = the hate aspect hidden in concentrate,cognitive
hat@con,concentrate-component of hate,hat@con = the concentrate aspect within hate,cognitive
con@pri,pride-component of concentrate,con@pri = the pride aspect hidden in concentrate,cognitive
pri@con,concentrate-component of pride,pri@con = the concentrate aspect within pride,cognitive
con@sha,shame-component of concentrate,con@sha = the shame aspect hidden in concentrate,cognitive
sha@con,concentrate-component of shame,sha@con = the concentrate aspect within shame,cognitive
con@bor,bored-component of concentrate,con@bor = the bored aspect hidden in concentrate,cognitive
bor@con,concentrate-component of bored,bor@con = the concentrate aspect within bored,cognitive
con@exc,excitement-component of concentrate,con@exc = the excitement aspect hidden in concentrate,cognitive
exc@con,concentrate-component of excitement,exc@con = the concentrate aspect within excitement,cognitive
con@anx,anxious-component of concentrate,con@anx = the anxious aspect hidden in concentrate,cognitive
anx@con,concentrate-component of anxious,anx@con = the concentrate aspect within anxious,cognitive
con@cal,calm-component of concentrate,con@cal = the calm aspect hidden in concentrate,cognitive
cal@con,concentrate-component of calm,cal@con = the concentrate aspect within calm,cognitive
con@cur,curious-component of concentrate,con@cur = the curious aspect hidden in concentrate,cognitive
cur@con,concentrate-component of curious,cur@con = the concentrate aspect within curious,cognitive
con@cre,creative-component of concentrate,con@cre = the creative aspect hidden in concentrate,cognitive
cre@con,concentrate-component of creative,cre@con = the concentrate aspect within creative,cognitive
con@pra,practical-component of concentrate,con@pra = the practical aspect hidden in concentrate,cognitive
pra@con,concentrate-component of practical,pra@con = the concentrate aspect within practical,cognitive
con@log,logical-component of concentrate,con@log = the logical aspect hidden in concentrate,cognitive
log@con,concentrate-component of logical,log@con = the concentrate aspect within logical,cognitive
con@ilg,illogical-component of concentrate,con@ilg = the illogical aspect hidden in concentrate,cognitive
ilg@con,concentrate-component of illogical,ilg@con = the concentrate aspect within illogical,cognitive
con@val,valid-component of concentrate,con@val = the valid aspect hidden in concentrate,cognitive
val@con,concentrate-component of valid,val@con = the concentrate aspect within valid,cognitive
con@fal,false-component of concentrate,con@fal = the false aspect hidden in concentrate,cognitive
fal@con,concentrate-component of false,fal@con = the concentrate aspect within false,cognitive
con@tru,true-component of concentrate,con@tru = the true aspect hidden in concentrate,cognitive
tru@con,concentrate-component of true,tru@con = the concentrate aspect within true,cognitive
con@par,paradoxical-component of concentrate,con@par = the paradoxical aspect hidden in concentrate,cognitive
par@con,concentrate-component of paradoxical,par@con = the concentrate aspect within paradoxical,cognitive
con@jus,justified-component of concentrate,con@jus = the justified aspect hidden in concentrate,cognitive
jus@con,concentrate-component of justified,jus@con = the concentrate aspect within justified,cognitive
con@int,intuition-component of concentrate,con@int = the intuition aspect hidden in concentrate,cognitive
int@con,concentrate-component of intuition,int@con = the concentrate aspect within intuition,cognitive
con@aim,aim-component of concentrate,con@aim = the aim aspect hidden in concentrate,cognitive
aim@con,concentrate-component of aim,aim@con = the concentrate aspect within aim,cognitive
con@pur,purpose-component of concentrate,con@pur = the purpose aspect hidden in concentrate,cognitive
pur@con,concentrate-component of purpose,pur@con = the concentrate aspect within purpose,cognitive
con@puz,puzzle-component of concentrate,con@puz = the puzzle aspect hidden in concentrate,cognitive
puz@con,concentrate-component of puzzle,puz@con = the concentrate aspect within puzzle,cognitive
con@wis,wise-component of concentrate,con@wis = the wise aspect hidden in concentrate,cognitive
wis@con,concentrate-component of wise,wis@con = the concentrate aspect within wise,cognitive
con@ign,ignorant-component of concentrate,con@ign = the ignorant aspect hidden in concentrate,cognitive
ign@con,concentrate-component of ignorant,ign@con = the concentrate aspect within ignorant,cognitive
dis@obs,observe-component of distract,dis@obs = the observe aspect hidden in distract,cognitive
obs@dis,distract-component of observe,obs@dis = the distract aspect within observe,cognitive
dis@per,perceive-component of distract,dis@per = the perceive aspect hidden in distract,cognitive
per@dis,distract-component of perceive,per@dis = the distract aspect within perceive,cognitive
dis@abl,able-component of distract,dis@abl = the able aspect hidden in distract,cognitive
abl@dis,distract-component of able,abl@dis = the distract aspect within able,cognitive
dis@aud,hearing-component of distract,dis@aud = the hearing aspect hidden in distract,cognitive
aud@dis,distract-component of hearing,aud@dis = the distract aspect within hearing,cognitive
dis@see,seeing-component of distract,dis@see = the seeing aspect hidden in distract,cognitive
see@dis,distract-component of seeing,see@dis = the distract aspect within seeing,cognitive
dis@sme,smelling-component of distract,dis@sme = the smelling aspect hidden in distract,cognitive
sme@dis,distract-component of smelling,sme@dis = the distract aspect within smelling,cognitive
dis@cle,clear-component of distract,dis@cle = the clear aspect hidden in distract,cognitive
cle@dis,distract-component of clear,cle@dis = the distract aspect within clear,cognitive
dis@dar,dark-component of distract,dis@dar = the dark aspect hidden in distract,cognitive
dar@dis,distract-component of dark,dar@dis = the distract aspect within dark,cognitive
dis@luc,lucid-component of distract,dis@luc = the lucid aspect hidden in distract,cognitive
luc@dis,distract-component of lucid,luc@dis = the distract aspect within lucid,cognitive
dis@clo,cloudy-component of distract,dis@clo = the cloudy aspect hidden in distract,cognitive
clo@dis,distract-component of cloudy,clo@dis = the distract aspect within cloudy,cognitive
dis@ful,full-component of distract,dis@ful = the full aspect hidden in distract,cognitive
ful@dis,distract-component of full,ful@dis = the distract aspect within full,cognitive
dis@emp,empty-component of distract,dis@emp = the empty aspect hidden in distract,cognitive
emp@dis,distract-component of empty,emp@dis = the distract aspect within empty,cognitive
dis@abs,abstract-component of distract,dis@abs = the abstract aspect hidden in distract,cognitive
abs@dis,distract-component of abstract,abs@dis = the distract aspect within abstract,cognitive
dis@rem,remembering-component of distract,dis@rem = the remembering aspect hidden in distract,cognitive
rem@dis,distract-component of remembering,rem@dis = the distract aspect within remembering,cognitive
dis@ima,imagining-component of distract,dis@ima = the imagining aspect hidden in distract,cognitive
ima@dis,distract-component of imagining,ima@dis = the distract aspect within imagining,cognitive
dis@dre,dreaming-component of distract,dis@dre = the dreaming aspect hidden in distract,cognitive
dre@dis,distract-component of dreaming,dre@dis = the distract aspect within dreaming,cognitive
dis@for,forget-component of distract,dis@for = the forget aspect hidden in distract,cognitive
for@dis,distract-component of forget,for@dis = the distract aspect within forget,cognitive
dis@rec,recall-component of distract,dis@rec = the recall aspect hidden in distract,cognitive
rec@dis,distract-component of recall,rec@dis = the distract aspect within recall,cognitive
dis@ang,anger-component of distract,dis@ang = the anger aspect hidden in distract,cognitive
ang@dis,distract-component of anger,ang@dis = the distract aspect within anger,cognitive
dis@joy,joy-component of distract,dis@joy = the joy aspect hidden in distract,cognitive
joy@dis,distract-component of joy,joy@dis = the distract aspect within joy,cognitive
dis@sad,sadness-component of distract,dis@sad = the sadness aspect hidden in distract,cognitive
sad@dis,distract-component of sadness,sad@dis = the distract aspect within sadness,cognitive
dis@fea,fear-component of distract,dis@fea = the fear aspect hidden in distract,cognitive
fea@dis,distract-component of fear,fea@dis = the distract aspect within fear,cognitive
dis@des,desire-component of distract,dis@des = the desire aspect hidden in distract,cognitive
des@dis,distract-component of desire,des@dis = the distract aspect within desire,cognitive
dis@hop,hope-component of distract,dis@hop = the hope aspect hidden in distract,cognitive
hop@dis,distract-component of hope,hop@dis = the distract aspect within hope,cognitive
dis@cou,courage-component of distract,dis@cou = the courage aspect hidden in distract,cognitive
cou@dis,distract-component of courage,cou@dis = the distract aspect within courage,cognitive
dis@cow,coward-component of distract,dis@cow = the coward aspect hidden in distract,cognitive
cow@dis,distract-component of coward,cow@dis = the distract aspect within coward,cognitive
dis@lov,love-component of distract,dis@lov = the love aspect hidden in distract,cognitive
lov@dis,distract-component of love,lov@dis = the distract aspect within love,cognitive
dis@hat,hate-component of distract,dis@hat = the hate aspect hidden in distract,cognitive
hat@dis,distract-component of hate,hat@dis = the distract aspect within hate,cognitive
dis@pri,pride-component of distract,dis@pri = the pride aspect hidden in distract,cognitive
pri@dis,distract-component of pride,pri@dis = the distract aspect within pride,cognitive
dis@sha,shame-component of distract,dis@sha = the shame aspect hidden in distract,cognitive
sha@dis,distract-component of shame,sha@dis = the distract aspect within shame,cognitive
dis@bor,bored-component of distract,dis@bor = the bored aspect hidden in distract,cognitive
bor@dis,distract-component of bored,bor@dis = the distract aspect within bored,cognitive
dis@exc,excitement-component of distract,dis@exc = the excitement aspect hidden in distract,cognitive
exc@dis,distract-component of excitement,exc@dis = the distract aspect within excitement,cognitive
dis@anx,anxious-component of distract,dis@anx = the anxious aspect hidden in distract,cognitive
anx@dis,distract-component of anxious,anx@dis = the distract aspect within anxious,cognitive
dis@cal,calm-component of distract,dis@cal = the calm aspect hidden in distract,cognitive
cal@dis,distract-component of calm,cal@dis = the distract aspect within calm,cognitive
dis@cur,curious-component of distract,dis@cur = the curious aspect hidden in distract,cognitive
cur@dis,distract-component of curious,cur@dis = the distract aspect within curious,cognitive
dis@cre,creative-component of distract,dis@cre = the creative aspect hidden in distract,cognitive
cre@dis,distract-component of creative,cre@dis = the distract aspect within creative,cognitive
dis@pra,practical-component of distract,dis@pra = the practical aspect hidden in distract,cognitive
pra@dis,distract-component of practical,pra@dis = the distract aspect within practical,cognitive
dis@log,logical-component of distract,dis@log = the logical aspect hidden in distract,cognitive
log@dis,distract-component of logical,log@dis = the distract aspect within logical,cognitive
dis@ilg,illogical-component of distract,dis@ilg = the illogical aspect hidden in distract,cognitive
ilg@dis,distract-component of illogical,ilg@dis = the distract aspect within illogical,cognitive
dis@val,valid-component of distract,dis@val = the valid aspect hidden in distract,cognitive
val@dis,distract-component of valid,val@dis = the distract aspect within valid,cognitive
dis@fal,false-component of distract,dis@fal = the false aspect hidden in distract,cognitive
fal@dis,distract-component of false,fal@dis = the distract aspect within false,cognitive
dis@tru,true-component of distract,dis@tru = the true aspect hidden in distract,cognitive
tru@dis,distract-component of true,tru@dis = the distract aspect within true,cognitive
dis@par,paradoxical-component of distract,dis@par = the paradoxical aspect hidden in distract,cognitive
par@dis,distract-component of paradoxical,par@dis = the distract aspect within paradoxical,cognitive
dis@jus,justified-component of distract,dis@jus = the justified aspect hidden in distract,cognitive
jus@dis,distract-component of justified,jus@dis = the distract aspect within justified,cognitive
dis@int,intuition-component of distract,dis@int = the intuition aspect hidden in distract,cognitive
int@dis,distract-component of intuition,int@dis = the distract aspect within intuition,cognitive
dis@aim,aim-component of distract,dis@aim = the aim aspect hidden in distract,cognitive
aim@dis,distract-component of aim,aim@dis = the distract aspect within aim,cognitive
dis@pur,purpose-component of distract,dis@pur = the purpose aspect hidden in distract,cognitive
pur@dis,distract-component of purpose,pur@dis = the distract aspect within purpose,cognitive
dis@puz,puzzle-component of distract,dis@puz = the puzzle aspect hidden in distract,cognitive
puz@dis,distract-component of puzzle,puz@dis = the distract aspect within puzzle,cognitive
dis@wis,wise-component of distract,dis@wis = the wise aspect hidden in distract,cognitive
wis@dis,distract-component of wise,wis@dis = the distract aspect within wise,cognitive
dis@ign,ignorant-component of distract,dis@ign = the ignorant aspect hidden in distract,cognitive
ign@dis,distract-component of ignorant,ign@dis = the distract aspect within ignorant,cognitive
obs@per,perceive-component of observe,obs@per = the perceive aspect hidden in observe,cognitive
per@obs,observe-component of perceive,per@obs = the observe aspect within perceive,cognitive
obs@abl,able-component of observe,obs@abl = the able aspect hidden in observe,cognitive
abl@obs,observe-component of able,abl@obs = the observe aspect within able,cognitive
obs@aud,hearing-component of observe,obs@aud = the hearing aspect hidden in observe,cognitive
aud@obs,observe-component of hearing,aud@obs = the observe aspect within hearing,cognitive
obs@see,seeing-component of observe,obs@see = the seeing aspect hidden in observe,cognitive
see@obs,observe-component of seeing,see@obs = the observe aspect within seeing,cognitive
obs@sme,smelling-component of observe,obs@sme = the smelling aspect hidden in observe,cognitive
sme@obs,observe-component of smelling,sme@obs = the observe aspect within smelling,cognitive
obs@cle,clear-component of observe,obs@cle = the clear aspect hidden in observe,cognitive
cle@obs,observe-component of clear,cle@obs = the observe aspect within clear,cognitive
obs@dar,dark-component of observe,obs@dar = the dark aspect hidden in observe,cognitive
dar@obs,observe-component of dark,dar@obs = the observe aspect within dark,cognitive
obs@luc,lucid-component of observe,obs@luc = the lucid aspect hidden in observe,cognitive
luc@obs,observe-component of lucid,luc@obs = the observe aspect within lucid,cognitive
obs@clo,cloudy-component of observe,obs@clo = the cloudy aspect hidden in observe,cognitive
clo@obs,observe-component of cloudy,clo@obs = the observe aspect within cloudy,cognitive
obs@ful,full-component of observe,obs@ful = the full aspect hidden in observe,cognitive
ful@obs,observe-component of full,ful@obs = the observe aspect within full,cognitive
obs@emp,empty-component of observe,obs@emp = the empty aspect hidden in observe,cognitive
emp@obs,observe-component of empty,emp@obs = the observe aspect within empty,cognitive
obs@abs,abstract-component of observe,obs@abs = the abstract aspect hidden in observe,cognitive
abs@obs,observe-component of abstract,abs@obs = the observe aspect within abstract,cognitive
obs@rem,remembering-component of observe,obs@rem = the remembering aspect hidden in observe,cognitive
rem@obs,observe-component of remembering,rem@obs = the observe aspect within remembering,cognitive
