expression,meaning,example,domain
ice given har^0.7,ice with 70% har condition,ice given har^0.7 = modified ice,physical
ice given hot^0.3,partially melted ice,ice given hot^0.3 = slushy,physical
ice given hot^0.5,melting ice,ice given hot^0.5 = slush,physical
ice given hot^0.6,ice with 60% hot condition,ice given hot^0.6 = modified ice,physical
ice given ruf^0.4,ice with 40% ruf condition,ice given ruf^0.4 = modified ice,physical
ice given smo^0.7,ice with 70% smo condition,ice given smo^0.7 = modified ice,physical
ice given sof^0.5,ice with 50% sof condition,ice given sof^0.5 = modified ice,physical
ice*flo,floating ice,ice*flo = iceberg state,physical
ice*fro,ice-frost state,ice*fro = crystalline coating,physical
ice@col,cold ice,ice@col = frozen crystalline,physical
ice@melt^0.2,ice with 20% melt,ice@melt^0.2 = 20% affected ice,physical
ice@melt^0.4,ice with 40% melt,ice@melt^0.4 = 40% affected ice,physical
ice@melt^0.6,ice with 60% melt,ice@melt^0.6 = 60% affected ice,physical
ice@melt^0.8,ice with 80% melt,ice@melt^0.8 = 80% affected ice,physical
ice@tra,transparent ice,ice@tra = clear frozen,physical
joi given hot,thermal joining,joi given hot = welding,physical
joi@har,joining with har aspect,joi@har = joining affecting har,physical
joi@smo,joining with smo aspect,joi@smo = joining affecting smo,physical
joi@tem,joining with tem aspect,joi@tem = joining affecting tem,physical
joi@vis,joining with vis aspect,joi@vis = joining affecting vis,physical
joi^0.4,weak joining,joi^0.4 = temporary bond,physical
joi^0.9,strong joining,joi^0.9 = permanent bond,physical
lav given col,cooling lava,lav given col = solidifying,physical
lav*flo,flowing lava,lav*flo = active eruption,physical
lav@hot,hot lava,lav@hot = molten rock,physical
layer@gas,layer of gas,layer@gas = layer structure,physical
layer@liq,layer of liq,layer@liq = layer structure,physical
layer@sol,layer of sol,layer@sol = layer structure,physical
layer@tex,layered texture,layer@tex = laminar structure,physical
lig@big,light large object,lig@big = giant balloon,physical
lig^0.1,10% light,lig^0.1 = 10% light,physical
lig^0.3,30% light,lig^0.3 = 30% light,physical
lig^0.5,50% light,lig^0.5 = 50% light,physical
lig^0.7,70% light,lig^0.7 = 70% light,physical
lig^0.9,90% light,lig^0.9 = 90% light,physical
liq given col,cold-thickened liquid,liq given col = viscous,physical
liq given col given pre,cold pressurized liquid,liq given col given pre = cryogenic,physical
liq given col^0.8 given pre^0.9 given mov^0.3,cold-pressure-viscous flow,liq given col^0.8 given pre^0.9 given mov^0.3 = glacial,physical
liq given hot,heat-expanded liquid,liq given hot = volatile,physical
liq given mov^0.5,liq under moderate mov,liq given mov^0.5 = liq at medium mov,physical
liq given osc,oscillating liquid,liq given osc = sloshing,physical
liq given pre^0.5,liq under moderate pre,liq given pre^0.5 = liq at medium pre,physical
liq given pre^0.8,compressed liquid,liq given pre^0.8 = hydraulic,physical
liq given pre^0.9,highly compressed liquid,liq given pre^0.9 = hydraulic,physical
liq given tem^0.5,liq under moderate tem,liq given tem^0.5 = liq at medium tem,physical
liq given tim^0.5,liq under moderate tim,liq given tim^0.5 = liq at medium tim,physical
liq without flu,viscous liquid,liq without flu = honey-like,physical
liq without gas,liq absence of gas,liq without gas = pure liq,physical
liq without sol,pure liquid,liq without sol = homogeneous,physical
liq*col,liquid-colloidal,liq*col = dispersion,physical
liq*eva*gas,liquid to gas evolution,liq*eva*gas = vaporization,physical
liq*gas,vapor/mist/foam,liq*gas = water mist or foam,physical
liq*gas@flo,flowing mist,liq*gas@flo = steam flowing,physical
liq*gas@ruf,rough foam,liq*gas@ruf = coarse bubbles,physical
liq*gas@surf,liquid-gas boundary,liq*gas@surf = surface tension,physical
liq*sur,liquid-surface,liq*sur = surface phenomena,physical
liq*vis,liquid visibility,liq*vis = transparent liquid,physical
liq@col,col aspect of liq,liq@col = col in liq,physical
liq@dry,dry aspect of liq,liq@dry = dry in liq,physical
liq@flu^0.2,liq with 20% flu,liq@flu^0.2 = 20% affected liq,physical
liq@flu^0.4,liq with 40% flu,liq@flu^0.4 = 40% affected liq,physical
liq@flu^0.6,liq with 60% flu,liq@flu^0.6 = 60% affected liq,physical
liq@flu^0.8,liq with 80% flu,liq@flu^0.8 = 80% affected liq,physical
liq@har,har aspect of liq,liq@har = har in liq,physical
liq@hot,hot aspect of liq,liq@hot = hot in liq,physical
liq@ruf,ruf aspect of liq,liq@ruf = ruf in liq,physical
liq@smo,smo aspect of liq,liq@smo = smo in liq,physical
liq@sof,sof aspect of liq,liq@sof = sof in liq,physical
liq@vis,vis aspect of liq,liq@vis = vis in liq,physical
liq@wet,wet aspect of liq,liq@wet = wet in liq,physical
liq^0.15,15% liquid state,liq^0.15 = barely liquid,physical
liq^0.2,nearly solid liquid,liq^0.2 = honey-like,physical
liq^0.25,25% liquid state,liq^0.25 = lightly liquid,physical
liq^0.35,35% liquid state,liq^0.35 = somewhat liquid,physical
liq^0.45,45% liquid state,liq^0.45 = mostly liquid,physical
liq^0.5,normal liquid,liq^0.5 = water-like,physical
liq^0.55,55% liquid state,liq^0.55 = clearly liquid,physical
liq^0.65,65% liquid state,liq^0.65 = very liquid,physical
liq^0.75,75% liquid state,liq^0.75 = quite liquid,physical
liq^0.8,thin liquid,liq^0.8 = oil-like,physical
liq^0.85,85% liquid state,liq^0.85 = nearly gaseous,physical
liq±gas,evaporation/condensation,liq±gas = phase equilibrium,physical
liq±gas@pre,liquid-gas equilibrium at pressure,liq±gas@pre = boiling point,physical
mag@met,magnetic metal,mag@met = iron magnetism,physical
mag^0.3,weak magnetic,mag^0.3 = slight attraction,physical
mag^0.7,strong magnetic,mag^0.7 = permanent magnet,physical
mak given hot,heat-shaped forming,mak given hot = thermal forming,physical
mak^0.3,partial forming,mak^0.3 = incomplete,physical
mak^0.9,complete forming,mak^0.9 = finished product,physical
mas^0.2,20% mass,mas^0.2 = light,physical
mas^0.8,80% mass,mas^0.8 = heavy,physical
mat^0.2,20% mat,mat^0.2 = 20% effect,physical
mat^0.4,40% mat,mat^0.4 = 40% effect,physical
mat^0.6,60% mat,mat^0.6 = 60% effect,physical
mat^0.8,80% mat,mat^0.8 = 80% effect,physical
mat^0.9,completely matte,mat^0.9 = non-reflective,physical
max@pre,maximum pressure,max@pre = collapse point,physical
mel given hot,heat-induced melting,mel given hot = thermal fusion,physical
mel given tem^0.8,temp-dependent melting,mel given tem^0.8 = high-temp fusion,physical
mel given tim^0.3,slow melting,mel given tim^0.3 = seasonal thaw,physical
mel*eva,melting-evaporation,mel*eva = phase cascade,physical
mel*sol,melting-solidifying,mel*sol = phase transition,physical
mel@0.0,freezing point,mel@0.0 = 0°C transition,physical
mel@met,melted metal,mel@met = liquid metal,physical
mel^0.3,early melting,mel^0.3 = ice with water,physical
mel^0.7,advanced melting,mel^0.7 = mostly liquid,physical
mel±sol,melt-freeze equilibrium,mel±sol = phase boundary,physical
mel±sol given tim,phase transition rate,mel±sol given tim = melting curve,physical
met given col^0.8,metal with 80% col condition,met given col^0.8 = modified metal,physical
met given har^0.3,metal with 30% har condition,met given har^0.3 = modified metal,physical
met given har^0.7,metal with 70% har condition,met given har^0.7 = modified metal,physical
met given hot^0.6,metal with 60% hot condition,met given hot^0.6 = modified metal,physical
met given hot^0.7,hot metal,met given hot^0.7 = red-hot,physical
met given ruf^0.4,metal with 40% ruf condition,met given ruf^0.4 = modified metal,physical
met given smo^0.7,metal with 70% smo condition,met given smo^0.7 = modified metal,physical
met given sof^0.5,metal with 50% sof condition,met given sof^0.5 = modified metal,physical
met without rus,pure untarnished metal,met without rus = polished,physical
met without shi,dull metal,met without shi = oxidized,physical
met*con,conductive metal,met*con = electricity path,physical
met*cor,corrosible metal,met*cor = reactive metal,physical
met*har,hard metal,met*har = steel strength,physical
met*liq@fus,metal-liquid fusion,met*liq@fus = welding heat,physical
met*oxid*rust*pow,metal oxidation cascade,met*oxid*rust*pow = rust powder,physical
met*rus,oxidizing metal,met*rus = rusting iron,physical
met@col,col aspect of met,met@col = col in met,physical
met@cor^0.2,met with 20% cor,met@cor^0.2 = 20% affected met,physical
met@cor^0.4,met with 40% cor,met@cor^0.4 = 40% affected met,physical
met@cor^0.6,met with 60% cor,met@cor^0.6 = 60% affected met,physical
met@cor^0.8,met with 80% cor,met@cor^0.8 = 80% affected met,physical
met@dry,dry aspect of met,met@dry = dry in met,physical
met@har,hard metal property,met@har = steel hardness,physical
met@hot,hot aspect of met,met@hot = hot in met,physical
met@ruf,ruf aspect of met,met@ruf = ruf in met,physical
met@smo,smo aspect of met,met@smo = smo in met,physical
met@sof,sof aspect of met,met@sof = sof in met,physical
met@vis,vis aspect of met,met@vis = vis in met,physical
met@wet,wet aspect of met,met@wet = wet in met,physical
met@woo,metal in wood composite,met@woo = reinforced wood,physical
met^0.5,semi-metallic,met^0.5 = poor conductor,physical
mid@big*sma,three-scale system,mid@big*sma = composite material,physical
mid@har,medium-scale hardness,mid@har = structural,physical
mid@pre,medium-scale pressure,mid@pre = ordinary force,physical
mid@tex,medium-scale texture,mid@tex = visible pattern,physical
min@tem,minimum temperature,min@tem = absolute zero,physical
mix given hot,thermal mixing,mix given hot = dissolution,physical
mix*sep,mixing-separation,mix*sep = demixing process,physical
mix@har,mixing with har aspect,mix@har = mixing affecting har,physical
mix@smo,mixing with smo aspect,mix@smo = mixing affecting smo,physical
mix@tem,mixing with tem aspect,mix@tem = mixing affecting tem,physical
mix@vis,mixing with vis aspect,mix@vis = mixing affecting vis,physical
mix^0.3,partial mixing,mix^0.3 = layered blend,physical
mix^0.8,thorough mixing,mix^0.8 = homogeneous,physical
mol*atom,atoms organizing,mol*atom = molecular assembly,physical
mol@cryst,molecular in crystal,mol@cryst = crystalline lattice,physical
mov given fre,movement with friction,mov given fre = sliding,physical
mov given fre^0.1,nearly frictionless motion,mov given fre^0.1 = ice slide,physical
mov given fre^0.9,high-friction motion,mov given fre^0.9 = heavily resisted,physical
mov*acc,movement-acceleration,mov*acc = accelerating motion,physical
mov@down,mov in down direction,mov@down = directed mov,physical
mov@in,mov in in direction,mov@in = directed mov,physical
mov@up,mov in up direction,mov@up = directed mov,physical
mov^0.1 given tim,very slow over time,mov^0.1 given tim = geological drift,physical
mov^0.3,slow movement,mov^0.3 = glacial motion,physical
mov^0.7,fast movement,mov^0.7 = rapid motion,physical
mov^0.9 given tim,very fast over time,mov^0.9 given tim = explosive,physical
mud given dry^0.8,drying mud,mud given dry^0.8 = hardening,physical
mud*sand,mud-sand mixture,mud*sand = silt formation,physical
mud*sol,soupy mud,mud*sol = liquid-solid mix,physical
mud*sti,sticky mud,mud*sti = adhesive,physical
mud*wat,water-mud mixture,mud*wat = sludge,physical
mud@sti^0.2,mud with 20% sti,mud@sti^0.2 = 20% affected mud,physical
mud@sti^0.4,mud with 40% sti,mud@sti^0.4 = 40% affected mud,physical
mud@sti^0.6,mud with 60% sti,mud@sti^0.6 = 60% affected mud,physical
mud@sti^0.8,mud with 80% sti,mud@sti^0.8 = 80% affected mud,physical
neu*col*pre,neutron degeneracy,neu*col*pre = neutron star,physical
oil given col^0.2,stiffened oil,oil given col^0.2 = cold-thickened,physical
oil without sol,pure oil,oil without sol = unmixed,physical
oil*flu,flowing oil,oil*flu = viscous liquid,physical
opa^0.2,20% opa,opa^0.2 = 20% effect,physical
opa^0.4,40% opa,opa^0.4 = 40% effect,physical
opa^0.6,60% opa,opa^0.6 = 60% effect,physical
opa^0.8,80% opa,opa^0.8 = 80% effect,physical
opa^0.9,completely opaque,opa^0.9 = black,physical
ordered*disor,ordered to disordered,ordered*disor = entropy increase,physical
osc given tim,time-periodic oscillation,osc given tim = wave frequency,physical
osc@down,osc in down direction,osc@down = directed osc,physical
osc@in,osc in in direction,osc@in = directed osc,physical
osc@up,osc in up direction,osc@up = directed osc,physical
osc^0.3,slow oscillation,osc^0.3 = pendulum,physical
osc^0.8,rapid oscillation,osc^0.8 = high-frequency,physical
par@wav,particle-wave duality,par@wav = quantum state,physical
per^0.2,20% per,per^0.2 = 20% effect,physical
per^0.4,40% per,per^0.4 = 40% effect,physical
per^0.6,60% per,per^0.6 = 60% effect,physical
per^0.8,80% per,per^0.8 = 80% effect,physical
phas@cyc,phase in cycle,phas@cyc = cycle stage,physical
pit^0.6,moderately pitted,pit^0.6 = orange-peel,physical
pla given mag,magnetized plasma,pla given mag = magnetic confinement,physical
poi without den,completely porous,poi without den = aerogel,physical
poi^0.2,20% poi,poi^0.2 = 20% effect,physical
poi^0.4,40% poi,poi^0.4 = 40% effect,physical
poi^0.6,60% poi,poi^0.6 = 60% effect,physical
poi^0.8,80% poi,poi^0.8 = 80% effect,physical
pol*cor*rus*ero,surface degradation,pol*cor*rus*ero = corrosion cascade,physical
pol@cor,polished corrosion,pol@cor = tarnished bright,physical
pol@ruf,polished rough surface,pol@ruf = textured finish,physical
pol^0.5,partial polymorph,pol^0.5 = mixed phases,physical
poly*mono,polymorph to monomorph,poly*mono = phase conversion,physical
poly@met,polymorph in metal,poly@met = phase variant,physical
por@big,porosity in large scale,por@big = macroporous,physical
por@sma,porosity in small scale,por@sma = microporous,physical
pore@por,pore in porous,pore@por = porosity,physical
power@bre,power in bre,power@bre = power for bre,physical
power@eva,power in eva,power@eva = power for eva,physical
power@mel,power in mel,power@mel = power for mel,physical
power@mix,power in mix,power@mix = power for mix,physical
power@mov,power in mov,power@mov = power for mov,physical
pre given gas,pressurized gas,pre given gas = compression,physical
pre*tem,pressure-temperature coupling,pre*tem = PVT state,physical
pre@crit,at critical pressure,pre@crit = supercritical,physical
pre@sol,solid pressure,pre@sol = compression,physical
pre^0.3,light pressure,pre^0.3 = gentle touch,physical
pre^0.9,extreme pressure,pre^0.9 = crushing,physical
pre^1.0*tem^1.0,ultra-high pressure temperature,pre^1.0*tem^1.0 = Earth core,physical
pul@ela,pulling elastic,pul@ela = extension,physical
pul^0.5,moderate pull,pul^0.5 = steady extraction,physical
pul^0.9,strong pull,pul^0.9 = tearing force,physical
pus*pul,tension-compression,pus*pul = opposing forces,physical
pus@sof,pushing soft material,pus@sof = indentation,physical
pus^0.4,light push,pus^0.4 = gentle pressure,physical
pus^0.9,hard push,pus^0.9 = forceful drive,physical
rad@gas,rad property in gas,rad@gas = rad of gas,physical
rad@hot,radiation from heat,rad@hot = thermal radiation,physical
rad@liq,rad property in liq,rad@liq = rad of liq,physical
rad@met,rad property in met,rad@met = rad of met,physical
rad@sol,rad property in sol,rad@sol = rad of sol,physical
ref@gas,ref property in gas,ref@gas = ref of gas,physical
ref@liq,ref property in liq,ref@liq = ref of liq,physical
ref@met,ref property in met,ref@met = ref of met,physical
ref@sol,ref property in sol,ref@sol = ref of sol,physical
ref@vis,optical reflection,ref@vis = light bouncing,physical
ref^0.5,partial reflection,ref^0.5 = semi-reflective,physical
ref^0.8,high reflectance,ref^0.8 = mirror-like,physical
rig^0.9,extremely rigid,rig^0.9 = steel beam,physical
ris@gra,rising against gravity,ris@gra = buoyant,physical
ris@gra^1.0,fighting standard gravity,ris@gra^1.0 = maximum buoyancy,physical
rock*ero,eroding rock,rock*ero = weathered surface,physical
rol^0.4,slow rolling,rol^0.4 = leisurely motion,physical
rol^0.9,rapid rolling,rol^0.9 = high-speed rotation,physical
rot*osc,rotation-oscillation,rot*osc = wobbling spin,physical
rot^0.5,slow rotation,rot^0.5 = planet-like,physical
rot^0.9,fast rotation,rot^0.9 = high-speed,physical
rub given hot,softened rubber,rub given hot = heat-softened,physical
rub*ela,elastic rubber,rub*ela = springy,physical
rub@smo,smooth rubber,rub@smo = polished finish,physical
ruf without smo,ruf absence of smo,ruf without smo = pure ruf,physical
ruf*dur*def,rough-durable-defects,ruf*dur*def = weathered strength,physical
ruf*smo,textured smoothness,ruf*smo = orange peel surface,physical
ruf*smo*pol,surface finish progression,ruf*smo*pol = polishing process,physical
ruf@gas,ruf aspect of gas,ruf@gas = ruf in gas,physical
ruf@liq,ruf aspect of liq,ruf@liq = ruf in liq,physical
ruf@met,ruf aspect of met,ruf@met = ruf in met,physical
ruf@sol,ruf aspect of sol,ruf@sol = ruf in sol,physical
ruf@sto,rough stone,ruf@sto = friction,physical
ruf@woo,ruf aspect of woo,ruf@woo = ruf in woo,physical
ruf^0.1,10% rough,ruf^0.1 = 10% rough,physical
ruf^0.15,15% rough,ruf^0.15 = slightly rough,physical
ruf^0.25,25% rough,ruf^0.25 = fairly rough,physical
ruf^0.3,30% rough,ruf^0.3 = 30% rough,physical
ruf^0.35,35% rough,ruf^0.35 = noticeably rough,physical
ruf^0.45,45% rough,ruf^0.45 = moderately rough,physical
ruf^0.5,50% rough,ruf^0.5 = 50% rough,physical
ruf^0.55,55% rough,ruf^0.55 = quite rough,physical
ruf^0.65,65% rough,ruf^0.65 = very rough,physical
ruf^0.7,70% rough,ruf^0.7 = 70% rough,physical
ruf^0.75,75% rough,ruf^0.75 = extremely rough,physical
ruf^0.85,85% rough,ruf^0.85 = severely textured,physical
ruf^0.9,90% rough,ruf^0.9 = 90% rough,physical
rus^0.9,heavy rust,rus^0.9 = oxide coating,physical
sal*wat,dissolved salt,sal*wat = solution,physical
sal@cry,crystalline salt,sal@cry = geometric,physical
sal@fin,fine salt,sal@fin = powder salt,physical
san given wet,damp sand,san given wet = moldable,physical
san*mud,sandy mud,san*mud = mixed soil,physical
san@fin,fine sand,san@fin = powder-like,physical
san^0.7,sandy texture,san^0.7 = sandpaper-like,physical
sca^0.7,heavily scaled,sca^0.7 = fish-scale,physical
scr@pol,scratched polished,scr@pol = polish with scratches,physical
sep@har,separation with har aspect,sep@har = separation affecting har,physical
sep@liq,liquid separation,sep@liq = phase separation,physical
sep@smo,separation with smo aspect,sep@smo = separation affecting smo,physical
sep@tem,separation with tem aspect,sep@tem = separation affecting tem,physical
sep@vis,separation with vis aspect,sep@vis = separation affecting vis,physical
sep^0.3,partial separation,sep^0.3 = incomplete,physical
sep^0.9,complete separation,sep^0.9 = total division,physical
sha^0.4,gentle shaking,sha^0.4 = light tremor,physical
sha^0.9,violent shaking,sha^0.9 = earthquake intensity,physical
shell@gas,shell of gas,shell@gas = shell structure,physical
shell@liq,shell of liq,shell@liq = shell structure,physical
shell@sol,shell of sol,shell@sol = shell structure,physical
shi^0.2,20% shi,shi^0.2 = 20% effect,physical
shi^0.4,40% shi,shi^0.4 = 40% effect,physical
shi^0.6,60% shi,shi^0.6 = 60% effect,physical
shi^0.8,highly shiny,shi^0.8 = glossy,physical
sil^0.9,silky smooth,sil^0.9 = glossy fluid,physical
sin*den,singularity density,sin*den = black hole,physical
skin@gas,skin of gas,skin@gas = skin structure,physical
skin@liq,skin of liq,skin@liq = skin structure,physical
skin@sol,skin of sol,skin@sol = skin structure,physical
sli*fre,slipping-friction,sli*fre = sliding resistance,physical
sli*sha,sliding-shaking,sli*sha = seismic motion,physical
sli*sti,stick-slip friction,sli*sti = squeaky contact,physical
sli^0.3,slow slide,sli^0.3 = creeping motion,physical
sli^0.9,extremely slippery,sli^0.9 = ice surface,physical
sma given pre,pressure on small object,sma given pre = point load,physical
sma*big,multi-scale structure,sma*big = hierarchical,physical
sma*vis,tiny visible boundary,sma*vis = microscopic visible,physical
sma@mol,molecular-scale small,sma@mol = atomic structure,physical
sma^0.1,10% small,sma^0.1 = 10% small,physical
sma^0.15,15% small,sma^0.15 = slightly small,physical
sma^0.25,25% small,sma^0.25 = fairly small,physical
sma^0.3,30% small,sma^0.3 = 30% small,physical
sma^0.35,35% small,sma^0.35 = noticeably small,physical
sma^0.45,45% small,sma^0.45 = moderately small,physical
sma^0.5,50% small,sma^0.5 = 50% small,physical
sma^0.55,55% small,sma^0.55 = quite small,physical
sma^0.65,65% small,sma^0.65 = very small,physical
sma^0.7,70% small,sma^0.7 = 70% small,physical
sma^0.75,75% small,sma^0.75 = extremely small,physical
sma^0.85,85% small,sma^0.85 = microscopic,physical
sma^0.9,90% small,sma^0.9 = 90% small,physical
smo*pol*shi,smooth-polished-shiny,smo*pol*shi = mirror surface,physical
smo*ruf,complex texture,smo*ruf = both qualities,physical
smo@gla,smooth glass,smo@gla = light transmission,physical
smo@ruf,smooth-rough duality,smo@ruf = mixed texture,physical
smo@sti,smooth-sticky surface,smo@sti = adhesive smoothness,physical
smo^0.1,10% smooth,smo^0.1 = 10% smooth,physical
smo^0.15,15% smooth,smo^0.15 = slightly smooth,physical
smo^0.25,25% smooth,smo^0.25 = fairly smooth,physical
smo^0.3,30% smooth,smo^0.3 = 30% smooth,physical
smo^0.35,35% smooth,smo^0.35 = somewhat smooth,physical
smo^0.45,45% smooth,smo^0.45 = moderately smooth,physical
smo^0.5,50% smooth,smo^0.5 = 50% smooth,physical
smo^0.55,55% smooth,smo^0.55 = quite smooth,physical
smo^0.65,65% smooth,smo^0.65 = very smooth,physical
smo^0.7,70% smooth,smo^0.7 = 70% smooth,physical
smo^0.75,75% smooth,smo^0.75 = extremely smooth,physical
smo^0.85,85% smooth,smo^0.85 = mirror-like,physical
smo^0.9,90% smooth,smo^0.9 = 90% smooth,physical
sof given mov^0.5,sof under moderate mov,sof given mov^0.5 = sof at medium mov,physical
sof given pre^0.5,sof under moderate pre,sof given pre^0.5 = sof at medium pre,physical
sof given tem^0.5,sof under moderate tem,sof given tem^0.5 = sof at medium tem,physical
sof given tim^0.5,sof under moderate tim,sof given tim^0.5 = sof at medium tim,physical
sof without sli,soft but grippy,sof without sli = tactile softness,physical
sof*flu*mob,soft-fluid-mobile,sof*flu*mob = flexible flow,physical
sof*lis,soft-lissom,sof*lis = fluid movement,physical
sof@liq,liquid softness,sof@liq = fluidity,physical
sof@woo,wood softness,sof@woo = tractability,physical
sof^0.1,10% softness,sof^0.1 = 10% soft,physical
sof^0.15,15% sof intensity,sof^0.15 = 15% effect,physical
sof^0.25,25% sof intensity,sof^0.25 = 25% effect,physical
sof^0.3,30% softness,sof^0.3 = 30% soft,physical
sof^0.35,35% sof intensity,sof^0.35 = 35% effect,physical
sof^0.45,45% soft,sof^0.45 = quite soft,physical
sof^0.5,50% softness,sof^0.5 = 50% soft,physical
sof^0.55,55% soft,sof^0.55 = very soft,physical
sof^0.65,65% soft,sof^0.65 = extremely soft,physical
sof^0.7,70% softness,sof^0.7 = 70% soft,physical
sof^0.75,75% soft,sof^0.75 = cloud-like,physical
sof^0.85,85% soft,sof^0.85 = feather-light,physical
sof^0.9,90% softness,sof^0.9 = 90% soft,physical
soil given wet,saturated soil,soil given wet = boggy ground,physical
sol given hot,heat-softened solid,sol given hot = malleable,physical
sol given hot given mov,heated moving solid,sol given hot given mov = thermal motion,physical
sol given hot^0.6 given pre^0.7 given tim^0.5,heat-pressure-time transformation,sol given hot^0.6 given pre^0.7 given tim^0.5 = annealing,physical
sol given hot^0.7 given pre^0.6,heat-pressure deformed,sol given hot^0.7 given pre^0.6 = metamorphic,physical
sol given hot^0.8,soft solid,sol given hot^0.8 = heat-weakened,physical
sol given mov,moving solid,sol given mov = kinetic energy,physical
sol given mov^0.5,sol under moderate mov,sol given mov^0.5 = sol at medium mov,physical
sol given pre,pressurized solid,sol given pre = compressed,physical
sol given pre^0.5,sol under moderate pre,sol given pre^0.5 = sol at medium pre,physical
sol given pre^0.9,pressurized solid,sol given pre^0.9 = compressed,physical
sol given tem^0.5,sol under moderate tem,sol given tem^0.5 = sol at medium tem,physical
sol given tim^0.5,sol under moderate tim,sol given tim^0.5 = sol at medium tim,physical
sol without gas,sol absence of gas,sol without gas = pure sol,physical
sol without har,soft solid,sol without har = plastic,physical
sol without liq,pure solid,sol without liq = anhydrous,physical
sol*col,solid-colloidal,sol*col = suspension,physical
sol*gas,powder/dust/aerosol,sol*gas = flour powder in air,physical
sol*gas@coa,coarse powder,sol*gas@coa = sand-like,physical
sol*gas@fin,fine powder,sol*gas@fin = talc-like,physical
sol*gas@inter,solid-gas interface,sol*gas@inter = adsorption,physical
sol*liq,gel/colloid state,sol*liq = non-Newtonian fluid,physical
sol*liq given tem,glassy state,sol*liq given tem = amorphous,physical
sol*liq*gas,three-state mixture,sol*liq*gas = emulsion/slurry,physical
sol*liq*gas*pla,four-state system,sol*liq*gas*pla = all phases,physical
sol*liq@surf,solid-liquid boundary,sol*liq@surf = meniscus,physical
sol*liq@tex,textured gel,sol*liq@tex = jelly with crystalline texture,physical
sol*mel*liq,partial melt to liquid,sol*mel*liq = melting progression,physical
sol*mel*liq*eva*gas,complete phase sequence,sol*mel*liq*eva*gas = full transformation,physical
sol*pol,solid-polymorphic,sol*pol = phase variant,physical
sol*tex,solid texture interaction,sol*tex = surface pattern,physical
sol@col,col aspect of sol,sol@col = col in sol,physical
sol@dry,dry aspect of sol,sol@dry = dry in sol,physical
sol@ent,solid entanglement,sol@ent = quantum solid,physical
sol@har,har aspect of sol,sol@har = har in sol,physical
sol@har^0.2,sol with 20% har,sol@har^0.2 = 20% affected sol,physical
sol@har^0.4,sol with 40% har,sol@har^0.4 = 40% affected sol,physical
sol@har^0.6,sol with 60% har,sol@har^0.6 = 60% affected sol,physical
sol@har^0.8,sol with 80% har,sol@har^0.8 = 80% affected sol,physical
sol@hot,hot aspect of sol,sol@hot = hot in sol,physical
sol@ruf,ruf aspect of sol,sol@ruf = ruf in sol,physical
sol@smo,smo aspect of sol,sol@smo = smo in sol,physical
sol@sof,sof aspect of sol,sol@sof = sof in sol,physical
sol@vis,vis aspect of sol,sol@vis = vis in sol,physical
sol@wet,wet aspect of sol,sol@wet = wet in sol,physical
sol^0.1 ... sol^0.9,soft to hard spectrum,sol^0.1 ... sol^0.9 = solidity range,physical
sol^0.15,15% solid state,sol^0.15 = slightly solid,physical
sol^0.25,25% solid state,sol^0.25 = softly solid,physical
sol^0.3,soft solid,sol^0.3 = clay-like,physical
sol^0.35,35% solid state,sol^0.35 = moderately solid,physical
sol^0.45,45% solid state,sol^0.45 = semi-solid,physical
sol^0.5,medium solid,sol^0.5 = normal solid,physical
sol^0.55,55% solid state,sol^0.55 = mostly solid,physical
sol^0.65,65% solid state,sol^0.65 = quite solid,physical
sol^0.7,firm solid,sol^0.7 = hard solid,physical
sol^0.75,75% solid state,sol^0.75 = very solid,physical
sol^0.85,85% solid state,sol^0.85 = nearly solid,physical
sol^0.9,extremely solid,sol^0.9 = rigid crystal,physical
solution*evap*cryst*powder,salt crystallization,solution*evap*cryst*powder = precipitate,physical
sol±gas,sublimation/deposition,sol±gas = direct change,physical
sol±gas@sub,sublimation equilibrium,sol±gas@sub = triple point,physical
sol±liq,melting/freezing equilibrium,sol±liq = phase boundary,physical
sol±liq@tem,phase equilibrium at temperature,sol±liq@tem = melting point,physical
som given col^0.99,Sommerfeld-cold,som given col^0.99 = degenerate matter,physical
ste*cor,structural corrosion,ste*cor = material failure,physical
sti^0.8,very sticky,sti^0.8 = tar-like,physical
sto given col^0.8,stone with 80% col condition,sto given col^0.8 = modified stone,physical
sto given har^0.3,stone with 30% har condition,sto given har^0.3 = modified stone,physical
sto given har^0.7,stone with 70% har condition,sto given har^0.7 = modified stone,physical
sto given hot^0.6,stone with 60% hot condition,sto given hot^0.6 = modified stone,physical
sto given pre,compressed stone,sto given pre = metamorphic,physical
sto given ruf^0.4,stone with 40% ruf condition,sto given ruf^0.4 = modified stone,physical
sto given smo^0.7,stone with 70% smo condition,sto given smo^0.7 = modified stone,physical
sto given sof^0.5,stone with 50% sof condition,sto given sof^0.5 = modified stone,physical
sto without wea,fresh stone,sto without wea = quarry rock,physical
sto*ero,eroding stone,sto*ero = weathering rock,physical
sto*har,hard stone,sto*har = granite-like,physical
sto*lav,stone-lava interaction,sto*lav = cooling magma,physical
sto@col,col aspect of sto,sto@col = col in sto,physical
sto@ero^0.2,sto with 20% ero,sto@ero^0.2 = 20% affected sto,physical
sto@ero^0.4,sto with 40% ero,sto@ero^0.4 = 40% affected sto,physical
sto@ero^0.6,sto with 60% ero,sto@ero^0.6 = 60% affected sto,physical
