expression,meaning,example,domain
all*aes*ble,all ∧ beauty ∧ blessing,all*aes*ble,ternary
all*agg,all ∧ aggregate,all*agg,abstract-agent
all*agt,all ∧ agent,all*agt,abstract-agent
all*ahi,all ∧ ahimsa,all*ahi,abstract-ethics
all*ale,all ∧ aleatoric uncertainty (inherently random),all*ale,abstract-agent
all*api,all ∧ interface,all*api,abstract-technical
all*apl,all ∧ apple,all*apl,abstract-concrete
all*app,all ∧ application,all*app,abstract-technical
all*apt,all ∧ apartment,all*apt,abstract-sensory
all*aret,all ∧ arete,all*aret,abstract-ethics
all*art*ahi,all ∧ art ∧ ahimsa,all*art*ahi,ternary
all*art*aret,all ∧ art ∧ arete,all*art*aret,ternary
all*art*bar,all ∧ art ∧ baraka,all*art*bar,ternary
all*art*ble,all ∧ art ∧ blessing,all*art*ble,ternary
all*async,all ∧ not synchronized concurrent,all*async,abstract-technical
all*avo,all ∧ avoid,all*avo,abstract-process
all*await,all ∧ wait for completion,all*await,abstract-technical
all*bag,all ∧ bag,all*bag,abstract-motion
all*bak,all ∧ backup,all*bak,abstract-technical
all*ban,all ∧ banana,all*ban,abstract-concrete
all*bar,all ∧ baraka,all*bar,abstract-ethics
all*bat,all ∧ bathroom,all*bat,abstract-sensory
all*bed,all ∧ bedroom,all*bed,abstract-sensory
all*bee,all ∧ beer,all*bee,abstract-concrete
all*beff,all ∧ beef,all*beff,abstract-concrete
all*ben,all ∧ bend,all*ben,abstract-process
all*bit,all ∧ bitter,all*bit,abstract-concrete
all*bld,all ∧ build,all*bld,abstract-process
all*ble,all ∧ blessing,all*ble,abstract-ethics
all*bng,all ∧ bring,all*bng,abstract-process
all*bnk,all ∧ bank,all*bnk,abstract-sensory
all*bod,all ∧ awakening,all*bod,abstract-ethics
all*boi,all ∧ boil,all*boi,abstract-concrete
all*boo,all ∧ book,all*boo,abstract-motion
all*bot,all ∧ automated agent,all*bot,abstract-technical
all*bow,all ∧ bowl,all*bow,abstract-motion
all*box,all ∧ box,all*box,abstract-motion
all*brk,all ∧ break,all*brk,abstract-process
all*cas,all ∧ castle,all*cas,abstract-sensory
all*cei,all ∧ ceiling,all*cei,abstract-sensory
all*cin*ahi,all ∧ film ∧ ahimsa,all*cin*ahi,ternary
all*cin*aret,all ∧ film ∧ arete,all*cin*aret,ternary
all*cin*bar,all ∧ film ∧ baraka,all*cin*bar,ternary
all*cin*ble,all ∧ film ∧ blessing,all*cin*ble,ternary
all*clm,all ∧ climb,all*clm,abstract-process
all*cra*ahi,all ∧ craft ∧ ahimsa,all*cra*ahi,ternary
all*cra*aret,all ∧ craft ∧ arete,all*cra*aret,ternary
all*cra*bar,all ∧ craft ∧ baraka,all*cra*bar,ternary
all*cra*ble,all ∧ craft ∧ blessing,all*cra*ble,ternary
all*cup,all ∧ cup,all*cup,abstract-motion
all*der,all ∧ virtue,all*der,abstract-ethics
all*ham,all ∧ hammer,all*ham,abstract-motion
alo*abd,along ∧ abduct,alo*abd,spatial-cognitive
alo*abl,along ∧ able,alo*abl,spatial-cognitive
alo*abs,along ∧ abstract,alo*abs,spatial-cognitive
alo*acc,along ∧ accelerate,alo*acc,spatial-temporal
alo*acc*cer,along ∧ accelerate ∧ ceremony,alo*acc*cer,ternary
alo*acc*chi,along ∧ accelerate ∧ child,alo*acc*chi,ternary
alo*acc*cru,along ∧ accelerate ∧ cruel,alo*acc*cru,ternary
alo*acc*cul,along ∧ accelerate ∧ culture,alo*acc*cul,ternary
alo*ack,along ∧ acknowledge,alo*ack,spatial-agent
alo*act,along ∧ action,alo*act,spatial-agent
alo*ada,along ∧ adapt,alo*ada,spatial-agent
alo*aft,along ∧ after,alo*aft,spatial-temporal
alo*aft*cer,along ∧ after ∧ ceremony,alo*aft*cer,ternary
alo*aft*chi,along ∧ after ∧ child,alo*aft*chi,ternary
alo*aft*cru,along ∧ after ∧ cruel,alo*aft*cru,ternary
alo*aft*cul,along ∧ after ∧ culture,alo*aft*cul,ternary
alo*age,along ∧ agent,alo*age,spatial-abstract
alo*agg,along ∧ aggregate,alo*agg,spatial-agent
alo*agr,along ∧ agreeing,alo*agr,spatial-communication
alo*agt,along ∧ agent,alo*agt,spatial-agent
alo*ahi,along ∧ ahimsa,alo*ahi,spatial-ethics
alo*aim,along ∧ aim,alo*aim,spatial-cognitive
alo*ale,along ∧ aleatoric uncertainty (inherently random),alo*ale,spatial-agent
alo*all,along ∧ all,alo*all,spatial-abstract
alo*alp,along ∧ alpha,alo*alp,spatial-abstract
alo*alt,along ∧ alternatively,alo*alt,spatial-abstract
alo*alw,along ∧ always,alo*alw,spatial-temporal
alo*alw*cer,along ∧ always ∧ ceremony,alo*alw*cer,ternary
alo*alw*chi,along ∧ always ∧ child,alo*alw*chi,ternary
alo*alw*cru,along ∧ always ∧ cruel,alo*alw*cru,ternary
alo*alw*cul,along ∧ always ∧ culture,alo*alw*cul,ternary
alo*amb,along ∧ many meanings,alo*amb,spatial-abstract
alo*anc,along ∧ ancient,alo*anc,spatial-abstract
alo*ang,along ∧ anger,alo*ang,spatial-cognitive
alo*ani,along ∧ animal,alo*ani,spatial-living
alo*ans,along ∧ answer,alo*ans,spatial-communication
alo*ant,along ∧ ant,alo*ant,spatial-living
alo*anx,along ∧ anxious,alo*anx,spatial-cognitive
alo*api,along ∧ interface,alo*api,spatial-technical
alo*apl,along ∧ apple,alo*apl,spatial-concrete
alo*app,along ∧ application,alo*app,spatial-technical
alo*apt,along ∧ apartment,alo*apt,spatial-sensory
alo*aret,along ∧ arete,alo*aret,spatial-ethics
alo*arg,along ∧ arguing,alo*arg,spatial-communication
alo*ask,along ∧ asking,alo*ask,spatial-communication
alo*async,along ∧ not synchronized concurrent,alo*async,spatial-technical
alo*avi,along ∧ bird,alo*avi,spatial-living
alo*avo,along ∧ avoid,alo*avo,spatial-process
alo*await,along ∧ wait for completion,alo*await,spatial-technical
alo*bag,along ∧ bag,alo*bag,spatial-motion
alo*bak,along ∧ backup,alo*bak,spatial-technical
alo*ban,along ∧ banana,alo*ban,spatial-concrete
alo*bar,along ∧ baraka,alo*bar,spatial-ethics
alo*bat,along ∧ bathroom,alo*bat,spatial-sensory
alo*bed,along ∧ bedroom,alo*bed,spatial-sensory
alo*bee,along ∧ beer,alo*bee,spatial-concrete
alo*bef,along ∧ before,alo*bef,spatial-temporal
alo*bef*cer,along ∧ before ∧ ceremony,alo*bef*cer,ternary
alo*bef*chi,along ∧ before ∧ child,alo*bef*chi,ternary
alo*bef*cru,along ∧ before ∧ cruel,alo*bef*cru,ternary
alo*bef*cul,along ∧ before ∧ culture,alo*bef*cul,ternary
alo*beff,along ∧ beef,alo*beff,spatial-concrete
alo*beg,along ∧ beginning,alo*beg,spatial-temporal
alo*ben,along ∧ bend,alo*ben,spatial-process
alo*ber,along ∧ berry,alo*ber,spatial-living
alo*bir,along ∧ birth,alo*bir,spatial-temporal
alo*bit,along ∧ bitter,alo*bit,spatial-concrete
alo*bld,along ∧ build,alo*bld,spatial-process
alo*ble,along ∧ blessing,alo*ble,spatial-ethics
alo*blo,along ∧ blood,alo*blo,spatial-living
alo*bng,along ∧ bring,alo*bng,spatial-process
alo*bnk,along ∧ bank,alo*bnk,spatial-sensory
alo*bod,along ∧ awakening,alo*bod,spatial-ethics
alo*boi,along ∧ boil,alo*boi,spatial-concrete
alo*bon,along ∧ bone,alo*bon,spatial-living
alo*boo,along ∧ book,alo*boo,spatial-motion
alo*bot,along ∧ automated agent,alo*bot,spatial-technical
alo*bow,along ∧ bowl,alo*bow,spatial-motion
alo*box,along ∧ box,alo*box,spatial-motion
alo*brk,along ∧ break,alo*brk,spatial-process
alo*cas,along ∧ castle,alo*cas,spatial-sensory
alo*cei,along ∧ ceiling,alo*cei,spatial-sensory
alo*cer,along ∧ ceremony,alo*cer,spatial-social
alo*chi,along ∧ child,alo*chi,spatial-social
alo*cle,along ∧ clear,alo*cle,spatial-communication
alo*clm,along ∧ climb,alo*clm,spatial-process
alo*cri,along ∧ criticize,alo*cri,spatial-communication
alo*cru,along ∧ cruel,alo*cru,spatial-social
alo*cul,along ∧ culture,alo*cul,spatial-social
alo*cup,along ∧ cup,alo*cup,spatial-motion
alo*cus,along ∧ custom,alo*cus,spatial-social
alo*der,along ∧ virtue,alo*der,spatial-ethics
alo*dut,along ∧ duty,alo*dut,spatial-social
alo*ham,along ∧ hammer,alo*ham,spatial-motion
alo*if,process-state: along creating condition,alo*if,process_state
alo*iff,process-state: along creating if-then,alo*iff,process_state
alo*ity,process-state: along creating quality,alo*ity,process_state
alo*opn,process-state: along creating open,alo*opn,process_state
alo*pha,process-state: along creating phase,alo*pha,process_state
alo*phs,process-state: along creating phase,alo*phs,process_state
alo*pok,process-state: along creating poke,alo*pok,process_state
alo*whn,process-state: along creating when,alo*whn,process_state
alo*wou,process-state: along creating would,alo*wou,process_state
alp*ack,alpha ∧ acknowledge,alp*ack,abstract-agent
alp*act,alpha ∧ action,alp*act,abstract-agent
alp*ada,alpha ∧ adapt,alp*ada,abstract-agent
alp*aes*ahi,alpha ∧ beauty ∧ ahimsa,alp*aes*ahi,ternary
alp*aes*aret,alpha ∧ beauty ∧ arete,alp*aes*aret,ternary
alp*aes*bar,alpha ∧ beauty ∧ baraka,alp*aes*bar,ternary
alp*aes*ble,alpha ∧ beauty ∧ blessing,alp*aes*ble,ternary
alp*agg,alpha ∧ aggregate,alp*agg,abstract-agent
alp*agt,alpha ∧ agent,alp*agt,abstract-agent
alp*ahi,alpha ∧ ahimsa,alp*ahi,abstract-ethics
alp*ale,alpha ∧ aleatoric uncertainty (inherently random),alp*ale,abstract-agent
alp*api,alpha ∧ interface,alp*api,abstract-technical
alp*apl,alpha ∧ apple,alp*apl,abstract-concrete
alp*app,alpha ∧ application,alp*app,abstract-technical
alp*apt,alpha ∧ apartment,alp*apt,abstract-sensory
alp*aret,alpha ∧ arete,alp*aret,abstract-ethics
alp*art*ahi,alpha ∧ art ∧ ahimsa,alp*art*ahi,ternary
alp*art*aret,alpha ∧ art ∧ arete,alp*art*aret,ternary
alp*art*bar,alpha ∧ art ∧ baraka,alp*art*bar,ternary
alp*art*ble,alpha ∧ art ∧ blessing,alp*art*ble,ternary
alp*async,alpha ∧ not synchronized concurrent,alp*async,abstract-technical
alp*avo,alpha ∧ avoid,alp*avo,abstract-process
alp*await,alpha ∧ wait for completion,alp*await,abstract-technical
alp*bag,alpha ∧ bag,alp*bag,abstract-motion
alp*bak,alpha ∧ backup,alp*bak,abstract-technical
alp*ban,alpha ∧ banana,alp*ban,abstract-concrete
alp*bar,alpha ∧ baraka,alp*bar,abstract-ethics
alp*bat,alpha ∧ bathroom,alp*bat,abstract-sensory
alp*bed,alpha ∧ bedroom,alp*bed,abstract-sensory
alp*bee,alpha ∧ beer,alp*bee,abstract-concrete
alp*beff,alpha ∧ beef,alp*beff,abstract-concrete
alp*ben,alpha ∧ bend,alp*ben,abstract-process
alp*bit,alpha ∧ bitter,alp*bit,abstract-concrete
alp*bld,alpha ∧ build,alp*bld,abstract-process
alp*ble,alpha ∧ blessing,alp*ble,abstract-ethics
alp*bng,alpha ∧ bring,alp*bng,abstract-process
alp*bnk,alpha ∧ bank,alp*bnk,abstract-sensory
alp*bod,alpha ∧ awakening,alp*bod,abstract-ethics
alp*boi,alpha ∧ boil,alp*boi,abstract-concrete
alp*boo,alpha ∧ book,alp*boo,abstract-motion
alp*bot,alpha ∧ automated agent,alp*bot,abstract-technical
alp*bow,alpha ∧ bowl,alp*bow,abstract-motion
alp*box,alpha ∧ box,alp*box,abstract-motion
alp*brk,alpha ∧ break,alp*brk,abstract-process
alp*cas,alpha ∧ castle,alp*cas,abstract-sensory
alp*cei,alpha ∧ ceiling,alp*cei,abstract-sensory
alp*cin*ahi,alpha ∧ film ∧ ahimsa,alp*cin*ahi,ternary
alp*cin*aret,alpha ∧ film ∧ arete,alp*cin*aret,ternary
alp*cin*bar,alpha ∧ film ∧ baraka,alp*cin*bar,ternary
alp*cin*ble,alpha ∧ film ∧ blessing,alp*cin*ble,ternary
alp*clm,alpha ∧ climb,alp*clm,abstract-process
alp*cra*ahi,alpha ∧ craft ∧ ahimsa,alp*cra*ahi,ternary
alp*cra*aret,alpha ∧ craft ∧ arete,alp*cra*aret,ternary
alp*cra*bar,alpha ∧ craft ∧ baraka,alp*cra*bar,ternary
alp*cra*ble,alpha ∧ craft ∧ blessing,alp*cra*ble,ternary
alp*cup,alpha ∧ cup,alp*cup,abstract-motion
alp*der,alpha ∧ virtue,alp*der,abstract-ethics
alp*ham,alpha ∧ hammer,alp*ham,abstract-motion
alt*ack,alternatively ∧ acknowledge,alt*ack,abstract-agent
alt*act,alternatively ∧ action,alt*act,abstract-agent
alt*ada,alternatively ∧ adapt,alt*ada,abstract-agent
alt*aes*ahi,alternatively ∧ beauty ∧ ahimsa,alt*aes*ahi,ternary
alt*aes*aret,alternatively ∧ beauty ∧ arete,alt*aes*aret,ternary
alt*aes*bar,alternatively ∧ beauty ∧ baraka,alt*aes*bar,ternary
alt*aes*ble,alternatively ∧ beauty ∧ blessing,alt*aes*ble,ternary
alt*agg,alternatively ∧ aggregate,alt*agg,abstract-agent
alt*agt,alternatively ∧ agent,alt*agt,abstract-agent
alt*ahi,alternatively ∧ ahimsa,alt*ahi,abstract-ethics
alt*ale,alternatively ∧ aleatoric uncertainty (inherently random),alt*ale,abstract-agent
alt*api,alternatively ∧ interface,alt*api,abstract-technical
alt*apl,alternatively ∧ apple,alt*apl,abstract-concrete
alt*app,alternatively ∧ application,alt*app,abstract-technical
alt*apt,alternatively ∧ apartment,alt*apt,abstract-sensory
alt*aret,alternatively ∧ arete,alt*aret,abstract-ethics
alt*art*ahi,alternatively ∧ art ∧ ahimsa,alt*art*ahi,ternary
alt*art*aret,alternatively ∧ art ∧ arete,alt*art*aret,ternary
alt*art*bar,alternatively ∧ art ∧ baraka,alt*art*bar,ternary
alt*art*ble,alternatively ∧ art ∧ blessing,alt*art*ble,ternary
alt*async,alternatively ∧ not synchronized concurrent,alt*async,abstract-technical
alt*avo,alternatively ∧ avoid,alt*avo,abstract-process
alt*await,alternatively ∧ wait for completion,alt*await,abstract-technical
alt*bag,alternatively ∧ bag,alt*bag,abstract-motion
alt*bak,alternatively ∧ backup,alt*bak,abstract-technical
alt*ban,alternatively ∧ banana,alt*ban,abstract-concrete
alt*bar,alternatively ∧ baraka,alt*bar,abstract-ethics
alt*bat,alternatively ∧ bathroom,alt*bat,abstract-sensory
alt*bed,alternatively ∧ bedroom,alt*bed,abstract-sensory
alt*bee,alternatively ∧ beer,alt*bee,abstract-concrete
alt*beff,alternatively ∧ beef,alt*beff,abstract-concrete
alt*ben,alternatively ∧ bend,alt*ben,abstract-process
alt*bit,alternatively ∧ bitter,alt*bit,abstract-concrete
alt*bld,alternatively ∧ build,alt*bld,abstract-process
alt*ble,alternatively ∧ blessing,alt*ble,abstract-ethics
alt*bng,alternatively ∧ bring,alt*bng,abstract-process
alt*bnk,alternatively ∧ bank,alt*bnk,abstract-sensory
alt*bod,alternatively ∧ awakening,alt*bod,abstract-ethics
alt*boi,alternatively ∧ boil,alt*boi,abstract-concrete
alt*boo,alternatively ∧ book,alt*boo,abstract-motion
alt*bot,alternatively ∧ automated agent,alt*bot,abstract-technical
alt*bow,alternatively ∧ bowl,alt*bow,abstract-motion
alt*box,alternatively ∧ box,alt*box,abstract-motion
alt*brk,alternatively ∧ break,alt*brk,abstract-process
alt*cas,alternatively ∧ castle,alt*cas,abstract-sensory
alt*cei,alternatively ∧ ceiling,alt*cei,abstract-sensory
alt*cin*ahi,alternatively ∧ film ∧ ahimsa,alt*cin*ahi,ternary
alt*cin*aret,alternatively ∧ film ∧ arete,alt*cin*aret,ternary
alt*cin*bar,alternatively ∧ film ∧ baraka,alt*cin*bar,ternary
alt*cin*ble,alternatively ∧ film ∧ blessing,alt*cin*ble,ternary
alt*clm,alternatively ∧ climb,alt*clm,abstract-process
alt*cra*ahi,alternatively ∧ craft ∧ ahimsa,alt*cra*ahi,ternary
alt*cra*aret,alternatively ∧ craft ∧ arete,alt*cra*aret,ternary
alt*cra*bar,alternatively ∧ craft ∧ baraka,alt*cra*bar,ternary
alt*cra*ble,alternatively ∧ craft ∧ blessing,alt*cra*ble,ternary
alt*cup,alternatively ∧ cup,alt*cup,abstract-motion
alt*der,alternatively ∧ virtue,alt*der,abstract-ethics
alt*ham,alternatively ∧ hammer,alt*ham,abstract-motion
alv*if,process-state: alive creating condition,alv*if,process_state
alv*iff,process-state: alive creating if-then,alv*iff,process_state
alv*ity,process-state: alive creating quality,alv*ity,process_state
alv*opn,process-state: alive creating open,alv*opn,process_state
alv*pha,process-state: alive creating phase,alv*pha,process_state
alv*phs,process-state: alive creating phase,alv*phs,process_state
alv*pok,process-state: alive creating poke,alv*pok,process_state
alv*whn,process-state: alive creating when,alv*whn,process_state
alv*wou,process-state: alive creating would,alv*wou,process_state
alw*abd,always ∧ abduct,alw*abd,temporal-cognitive
alw*abd*ack,always ∧ abduct ∧ acknowledge,alw*abd*ack,ternary
alw*abd*act,always ∧ abduct ∧ action,alw*abd*act,ternary
alw*abd*ada,always ∧ abduct ∧ adapt,alw*abd*ada,ternary
alw*abd*agg,always ∧ abduct ∧ aggregate,alw*abd*agg,ternary
alw*abl,always ∧ able,alw*abl,temporal-cognitive
alw*abl*ack,always ∧ able ∧ acknowledge,alw*abl*ack,ternary
alw*abl*act,always ∧ able ∧ action,alw*abl*act,ternary
alw*abl*ada,always ∧ able ∧ adapt,alw*abl*ada,ternary
alw*abl*agg,always ∧ able ∧ aggregate,alw*abl*agg,ternary
alw*abs,always ∧ abstract,alw*abs,temporal-cognitive
alw*abs*ack,always ∧ abstract ∧ acknowledge,alw*abs*ack,ternary
alw*abs*act,always ∧ abstract ∧ action,alw*abs*act,ternary
alw*abs*ada,always ∧ abstract ∧ adapt,alw*abs*ada,ternary
alw*abs*agg,always ∧ abstract ∧ aggregate,alw*abs*agg,ternary
alw*ack,always ∧ acknowledge,alw*ack,temporal-agent
alw*act,always ∧ action,alw*act,temporal-agent
alw*ada,always ∧ adapt,alw*ada,temporal-agent
alw*age,always ∧ agent,alw*age,temporal-abstract
alw*agg,always ∧ aggregate,alw*agg,temporal-agent
alw*agr,always ∧ agreeing,alw*agr,temporal-communication
alw*agt,always ∧ agent,alw*agt,temporal-agent
alw*ahi,always ∧ ahimsa,alw*ahi,temporal-ethics
alw*aim,always ∧ aim,alw*aim,temporal-cognitive
alw*aim*ack,always ∧ aim ∧ acknowledge,alw*aim*ack,ternary
alw*aim*act,always ∧ aim ∧ action,alw*aim*act,ternary
alw*aim*ada,always ∧ aim ∧ adapt,alw*aim*ada,ternary
alw*aim*agg,always ∧ aim ∧ aggregate,alw*aim*agg,ternary
alw*ale,always ∧ aleatoric uncertainty (inherently random),alw*ale,temporal-agent
alw*all,always ∧ all,alw*all,temporal-abstract
alw*alp,always ∧ alpha,alw*alp,temporal-abstract
alw*alt,always ∧ alternatively,alw*alt,temporal-abstract
alw*amb,always ∧ many meanings,alw*amb,temporal-abstract
alw*anc,always ∧ ancient,alw*anc,temporal-abstract
alw*ang,always ∧ anger,alw*ang,temporal-cognitive
alw*ani,always ∧ animal,alw*ani,temporal-living
alw*ans,always ∧ answer,alw*ans,temporal-communication
alw*ant,always ∧ ant,alw*ant,temporal-living
alw*anx,always ∧ anxious,alw*anx,temporal-cognitive
alw*api,always ∧ interface,alw*api,temporal-technical
alw*apl,always ∧ apple,alw*apl,temporal-concrete
alw*app,always ∧ application,alw*app,temporal-technical
alw*apt,always ∧ apartment,alw*apt,temporal-sensory
alw*aret,always ∧ arete,alw*aret,temporal-ethics
alw*arg,always ∧ arguing,alw*arg,temporal-communication
alw*ask,always ∧ asking,alw*ask,temporal-communication
alw*async,always ∧ not synchronized concurrent,alw*async,temporal-technical
alw*avi,always ∧ bird,alw*avi,temporal-living
alw*avo,always ∧ avoid,alw*avo,temporal-process
alw*await,always ∧ wait for completion,alw*await,temporal-technical
alw*bag,always ∧ bag,alw*bag,temporal-motion
alw*bak,always ∧ backup,alw*bak,temporal-technical
alw*ban,always ∧ banana,alw*ban,temporal-concrete
alw*bar,always ∧ baraka,alw*bar,temporal-ethics
alw*bat,always ∧ bathroom,alw*bat,temporal-sensory
alw*bed,always ∧ bedroom,alw*bed,temporal-sensory
alw*bee,always ∧ beer,alw*bee,temporal-concrete
alw*beff,always ∧ beef,alw*beff,temporal-concrete
alw*ben,always ∧ bend,alw*ben,temporal-process
alw*ber,always ∧ berry,alw*ber,temporal-living
alw*bit,always ∧ bitter,alw*bit,temporal-concrete
alw*bld,always ∧ build,alw*bld,temporal-process
alw*ble,always ∧ blessing,alw*ble,temporal-ethics
alw*blo,always ∧ blood,alw*blo,temporal-living
alw*bng,always ∧ bring,alw*bng,temporal-process
alw*bnk,always ∧ bank,alw*bnk,temporal-sensory
alw*bod,always ∧ awakening,alw*bod,temporal-ethics
alw*boi,always ∧ boil,alw*boi,temporal-concrete
alw*bon,always ∧ bone,alw*bon,temporal-living
alw*boo,always ∧ book,alw*boo,temporal-motion
alw*bot,always ∧ automated agent,alw*bot,temporal-technical
alw*bow,always ∧ bowl,alw*bow,temporal-motion
alw*box,always ∧ box,alw*box,temporal-motion
alw*brk,always ∧ break,alw*brk,temporal-process
alw*cas,always ∧ castle,alw*cas,temporal-sensory
alw*cei,always ∧ ceiling,alw*cei,temporal-sensory
alw*cer,always ∧ ceremony,alw*cer,temporal-social
alw*chi,always ∧ child,alw*chi,temporal-social
alw*cle,always ∧ clear,alw*cle,temporal-communication
alw*clm,always ∧ climb,alw*clm,temporal-process
alw*cri,always ∧ criticize,alw*cri,temporal-communication
alw*cru,always ∧ cruel,alw*cru,temporal-social
alw*cul,always ∧ culture,alw*cul,temporal-social
alw*cup,always ∧ cup,alw*cup,temporal-motion
alw*cus,always ∧ custom,alw*cus,temporal-social
alw*der,always ∧ virtue,alw*der,temporal-ethics
alw*dut,always ∧ duty,alw*dut,temporal-social
alw*ham,always ∧ hammer,alw*ham,temporal-motion
amb*ack,many meanings ∧ acknowledge,amb*ack,abstract-agent
amb*act,many meanings ∧ action,amb*act,abstract-agent
amb*ada,many meanings ∧ adapt,amb*ada,abstract-agent
amb*agg,many meanings ∧ aggregate,amb*agg,abstract-agent
amb*agt,many meanings ∧ agent,amb*agt,abstract-agent
amb*ahi,many meanings ∧ ahimsa,amb*ahi,abstract-ethics
amb*ale,many meanings ∧ aleatoric uncertainty (inherently random),amb*ale,abstract-agent
amb*api,many meanings ∧ interface,amb*api,abstract-technical
amb*apl,many meanings ∧ apple,amb*apl,abstract-concrete
amb*app,many meanings ∧ application,amb*app,abstract-technical
amb*apt,many meanings ∧ apartment,amb*apt,abstract-sensory
amb*aret,many meanings ∧ arete,amb*aret,abstract-ethics
amb*async,many meanings ∧ not synchronized concurrent,amb*async,abstract-technical
amb*avo,many meanings ∧ avoid,amb*avo,abstract-process
amb*await,many meanings ∧ wait for completion,amb*await,abstract-technical
amb*bag,many meanings ∧ bag,amb*bag,abstract-motion
amb*bak,many meanings ∧ backup,amb*bak,abstract-technical
amb*ban,many meanings ∧ banana,amb*ban,abstract-concrete
amb*bar,many meanings ∧ baraka,amb*bar,abstract-ethics
amb*bat,many meanings ∧ bathroom,amb*bat,abstract-sensory
amb*bed,many meanings ∧ bedroom,amb*bed,abstract-sensory
amb*bee,many meanings ∧ beer,amb*bee,abstract-concrete
amb*beff,many meanings ∧ beef,amb*beff,abstract-concrete
amb*ben,many meanings ∧ bend,amb*ben,abstract-process
amb*bit,many meanings ∧ bitter,amb*bit,abstract-concrete
amb*bld,many meanings ∧ build,amb*bld,abstract-process
amb*ble,many meanings ∧ blessing,amb*ble,abstract-ethics
amb*bng,many meanings ∧ bring,amb*bng,abstract-process
amb*bnk,many meanings ∧ bank,amb*bnk,abstract-sensory
amb*bod,many meanings ∧ awakening,amb*bod,abstract-ethics
amb*boi,many meanings ∧ boil,amb*boi,abstract-concrete
amb*boo,many meanings ∧ book,amb*boo,abstract-motion
amb*bot,many meanings ∧ automated agent,amb*bot,abstract-technical
amb*bow,many meanings ∧ bowl,amb*bow,abstract-motion
amb*box,many meanings ∧ box,amb*box,abstract-motion
amb*brk,many meanings ∧ break,amb*brk,abstract-process
amb*cas,many meanings ∧ castle,amb*cas,abstract-sensory
amb*cei,many meanings ∧ ceiling,amb*cei,abstract-sensory
amb*clm,many meanings ∧ climb,amb*clm,abstract-process
amb*cup,many meanings ∧ cup,amb*cup,abstract-motion
amb*der,many meanings ∧ virtue,amb*der,abstract-ethics
amb*ham,many meanings ∧ hammer,amb*ham,abstract-motion
amb*if,process-state: many meanings creating condition,amb*if,process_state
amb*iff,process-state: many meanings creating if-then,amb*iff,process_state
amb*ity,process-state: many meanings creating quality,amb*ity,process_state
amb*opn,process-state: many meanings creating open,amb*opn,process_state
amb*pha,process-state: many meanings creating phase,amb*pha,process_state
amb*phs,process-state: many meanings creating phase,amb*phs,process_state
amb*pok,process-state: many meanings creating poke,amb*pok,process_state
amb*whn,process-state: many meanings creating when,amb*whn,process_state
amb*wou,process-state: many meanings creating would,amb*wou,process_state
amo*abd,among ∧ abduct,amo*abd,spatial-cognitive
amo*abl,among ∧ able,amo*abl,spatial-cognitive
amo*abs,among ∧ abstract,amo*abs,spatial-cognitive
amo*acc,among ∧ accelerate,amo*acc,spatial-temporal
amo*ack,among ∧ acknowledge,amo*ack,spatial-agent
amo*act,among ∧ action,amo*act,spatial-agent
amo*ada,among ∧ adapt,amo*ada,spatial-agent
amo*aft,among ∧ after,amo*aft,spatial-temporal
amo*age,among ∧ agent,amo*age,spatial-abstract
amo*agg,among ∧ aggregate,amo*agg,spatial-agent
amo*agr,among ∧ agreeing,amo*agr,spatial-communication
amo*agt,among ∧ agent,amo*agt,spatial-agent
amo*ahi,among ∧ ahimsa,amo*ahi,spatial-ethics
amo*aim,among ∧ aim,amo*aim,spatial-cognitive
amo*ale,among ∧ aleatoric uncertainty (inherently random),amo*ale,spatial-agent
amo*all,among ∧ all,amo*all,spatial-abstract
amo*alp,among ∧ alpha,amo*alp,spatial-abstract
amo*alt,among ∧ alternatively,amo*alt,spatial-abstract
amo*alw,among ∧ always,amo*alw,spatial-temporal
amo*amb,among ∧ many meanings,amo*amb,spatial-abstract
amo*anc,among ∧ ancient,amo*anc,spatial-abstract
amo*ang,among ∧ anger,amo*ang,spatial-cognitive
amo*ani,among ∧ animal,amo*ani,spatial-living
amo*ans,among ∧ answer,amo*ans,spatial-communication
amo*ant,among ∧ ant,amo*ant,spatial-living
amo*anx,among ∧ anxious,amo*anx,spatial-cognitive
amo*api,among ∧ interface,amo*api,spatial-technical
amo*apl,among ∧ apple,amo*apl,spatial-concrete
amo*app,among ∧ application,amo*app,spatial-technical
amo*apt,among ∧ apartment,amo*apt,spatial-sensory
amo*aret,among ∧ arete,amo*aret,spatial-ethics
amo*arg,among ∧ arguing,amo*arg,spatial-communication
amo*ask,among ∧ asking,amo*ask,spatial-communication
amo*async,among ∧ not synchronized concurrent,amo*async,spatial-technical
amo*avi,among ∧ bird,amo*avi,spatial-living
amo*avo,among ∧ avoid,amo*avo,spatial-process
amo*await,among ∧ wait for completion,amo*await,spatial-technical
amo*bag,among ∧ bag,amo*bag,spatial-motion
amo*bak,among ∧ backup,amo*bak,spatial-technical
amo*ban,among ∧ banana,amo*ban,spatial-concrete
amo*bar,among ∧ baraka,amo*bar,spatial-ethics
amo*bat,among ∧ bathroom,amo*bat,spatial-sensory
amo*bed,among ∧ bedroom,amo*bed,spatial-sensory
amo*bee,among ∧ beer,amo*bee,spatial-concrete
amo*bef,among ∧ before,amo*bef,spatial-temporal
amo*beff,among ∧ beef,amo*beff,spatial-concrete
